ID,MAX SPEED,MAX SPEED RAW,MAX SPEED DATE TIME,MIN SPEED,MIN SPEED RAW,MIN SPEED DATE TIME,THRESHOLD MESSAGE (MAX),THRESHOLD MESSAGE (MIN),DISCARD IN UPPER ERROR LIMIT,DISCARD IN LOWER ERROR LIMIT,DISCARD IN UPPER WARNING LIMIT,DISCARD IN LOWER WARNING LIMIT,DISCARD OUT UPPER ERROR LIMIT,DISCARD OUT LOWER ERROR LIMIT,DISCARD OUT UPPER WARNING LIMIT,DISCARD OUT LOWER WARNING LIMIT,ERROR IN UPPER ERROR LIMIT,ERROR IN LOWER ERROR LIMIT,ERROR IN UPPER WARNING LIMIT,ERROR IN LOWER WARNING LIMIT,ERROR OUT UPPER ERROR LIMIT,ERROR OUT LOWER ERROR LIMIT,ERROR OUT UPPER WARNING LIMIT,ERROR OUT LOWER WARNING LIMIT,TRAFFIC TOTAL UPPER ERROR LIMIT,TRAFFIC TOTAL LOWER ERROR LIMIT,TRAFFIC TOTAL UPPER WARNING LIMIT,TRAFFIC TOTAL LOWER WARNING LIMIT
10692,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10692,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set
9163,"1,348 Mbit/s",168489511.9361,12-03-2024 23:22:03,,,,,"Error processing CSV data for ID 9163: could not convert string to float: '1,348'",2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,8000.0,not_set,7000.0,not_set
9242,"1,656 Mbit/s",206988795.2135,12-03-2024 23:22:35,,,,,"Error processing CSV data for ID 9242: could not convert string to float: '1,656'",2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,8000.0,not_set,7000.0,not_set
9956,79 Mbit/s,9933514.0357,12-03-2024 18:01:43,1.17 Mbit/s,146820.6667,12-03-2024 23:37:43,MAX SPEED for ID 9956 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set
9164,"1,172 Mbit/s",146504861.1139,12-03-2024 23:22:53,,,,,"Error processing CSV data for ID 9164: could not convert string to float: '1,172'",2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,8000.0,not_set,7000.0,not_set
9243,3.20 Mbit/s,400557.1262,12-03-2024 23:22:49,0.84 Mbit/s,105259.6,12-03-2024 21:42:49,MAX SPEED for ID 9243 is within both Upper Error Limit(8000.0 Mbit/s) and Upper Warning Limit(7000.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,8000.0,not_set,7000.0,not_set
9244,< 0.01,329.8199,12-03-2024 20:56:41,,,,,Error processing CSV data for ID 9244: could not convert string to float: '<',2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set
8484,98 Mbit/s,12196914.5667,12-03-2024 18:46:10,0.28 Mbit/s,35199.0988,12-03-2024 23:35:10,MAX SPEED for ID 8484 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set
9165,464 Mbit/s,58009900.9171,12-03-2024 23:11:16,75 Mbit/s,9417740.0167,12-03-2024 18:00:16,MAX SPEED for ID 9165 is within both Upper Error Limit(8000.0 Mbit/s) and Upper Warning Limit(7000.0 Mbit/s),not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,8000.0,not_set,7000.0,not_set
9245,"3,022 Mbit/s",377732885.5715,12-03-2024 20:06:51,,,,,"Error processing CSV data for ID 9245: could not convert string to float: '3,022'",2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,2,not_set,1,not_set,16000.0,not_set,10000.0,not_set
